MAINCATEGORY,SUBCATEGORY,MAINCATEGORYEN,SUBCATEGORYEN,SPH,CYL,DIAMETER,PRICE,QRCODE
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.00,-2.25,65,60.50,-01.00-02.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.00,-2.50,65,60.50,-01.00-02.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.00,-2.75,65,60.50,-01.00-02.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.00,-3.00,65,60.50,-01.00-03.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.00,-3.25,65,60.50,-01.00-03.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.00,-3.50,65,60.50,-01.00-03.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.00,-3.75,65,60.50,-01.00-03.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.00,-4.00,65,60.50,-01.00-04.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.25,0.00,72,37.50,-01.25+00.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.25,-0.25,72,37.50,-01.25-00.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.25,-0.50,72,37.50,-01.25-00.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.25,-0.75,72,37.50,-01.25-00.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.25,-1.00,72,37.50,-01.25-01.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.25,-1.25,72,37.50,-01.25-01.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.25,-1.50,72,37.50,-01.25-01.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.25,-1.75,72,37.50,-01.25-01.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.25,-2.00,72,37.50,-01.25-02.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.25,-2.25,65,60.50,-01.25-02.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.25,-2.50,65,60.50,-01.25-02.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.25,-2.75,65,60.50,-01.25-02.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.25,-3.00,65,60.50,-01.25-03.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.25,-3.25,65,60.50,-01.25-03.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.25,-3.50,65,60.50,-01.25-03.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.25,-3.75,65,60.50,-01.25-03.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.25,-4.00,65,60.50,-01.25-04.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.50,0.00,72,37.50,-01.50+00.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.50,-0.25,72,37.50,-01.50-00.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.50,-0.50,72,37.50,-01.50-00.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.50,-0.75,72,37.50,-01.50-00.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.50,-1.00,72,37.50,-01.50-01.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.50,-1.25,72,37.50,-01.50-01.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.50,-1.50,72,37.50,-01.50-01.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.50,-1.75,72,37.50,-01.50-01.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.50,-2.00,72,37.50,-01.50-02.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.50,-2.25,65,60.50,-01.50-02.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.50,-2.50,65,60.50,-01.50-02.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.50,-2.75,65,60.50,-01.50-02.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.50,-3.00,65,60.50,-01.50-03.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.50,-3.25,65,60.50,-01.50-03.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.50,-3.50,65,60.50,-01.50-03.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.50,-3.75,65,60.50,-01.50-03.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.50,-4.00,65,60.50,-01.50-04.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.75,0.00,72,37.50,-01.75+00.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.75,-0.25,72,37.50,-01.75-00.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.75,-0.50,72,37.50,-01.75-00.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.75,-0.75,72,37.50,-01.75-00.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.75,-1.00,72,37.50,-01.75-01.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.75,-1.25,72,37.50,-01.75-01.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.75,-1.50,72,37.50,-01.75-01.50'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.75,-1.75,72,37.50,-01.75-01.75'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.75,-2.00,72,37.50,-01.75-02.00'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.75,-2.25,65,60.50,-01.75-02.25'
بيست,كات بيست,BEST,1.56 HMC BLUE CUT,-1.75,-2.50,65,60.50,-01.75-02.50'
